Attack Type,Trigram,Count
Evil Twin + DNS Spoofing (Fake Wi-Fi + MITM),open wi fi,1
Evil Twin + DNS Spoofing (Fake Wi-Fi + MITM),public wi fi,1
Evil Twin + MITM + HTTPS Downgrade,disable auto connect,1
Evil Twin + MITM + HTTPS Downgrade,open wi fi,1
Excessive API Exposure via Introspection,limit access to,1
Excessive Memory Usage Attack,input validation and,1
Excessive Secret Scope,least privilege on,1
Execution,via applocker or,1
Execution + Defense Evasion,constrained language mode,1
Execution Hijack via Hook Insertion,use code signing,1
Exploit IP Headers Outside VPN Tunnel,deep packet inspection,1
Exploit Intel SMM to run code at highest CPU level,write access to,1
Exploit in Flash Loan Callback Function Logic,use reentrancy guards,1
Exploiting Explainability Tools to Reveal Data,limit access to,1
Exploiting Import Features to Plant Backdoors,restrict access to,1
Exploiting Instance Metadata Service (IMDS),block access to,1
Exploiting Timing Differences to Infer Private Data,use constant time,1
Exploiting Vector Search Similarities,add noise to,1
Exposed API Keys / Secrets in Repos,in ci cd,1
Exposed API Keys in Repos / Code,store secrets in,1
Exposed API Keys in Repos or Frontend Code,rotate keys regularly,1
Exposed API Keys in Repos or Frontend Code,store secrets in,1
External Data Poisoning,anomaly detection on,1
Extreme Amplification DDoS via UDP-based Memcached,to internal ips,1
FL Gradient Privacy Leak,use differential privacy,1
Fairness Analysis Abuse,limit access to,1
Fake AP + DNS Spoof + Forced APK Download,do not allow,1
Fake AP + Network Spoof + DNS Injection,auto connect to,1
Fake AP + Network Spoof + DNS Injection,disable auto connect,1
Fake AP + Network Spoof + DNS Injection,open wi fi,1
Fake AP + Network Spoof + DNS Injection,public wi fi,1
Fake Login Page on Rogue AP,open wi fi,1
Fake Login Page on Rogue AP,users not to,1
Fake Session Timeout,on server side,1
Faking Source IP to Bypass API Auth or Access Checks,from trusted sources,1
Fan-Based Side-Channel Attack,use constant time,1
Fault Injection,use secure boot,1
Feature Collision,alert on suspicious,1
Feature Importance-Based Membership Inference,access to internal,1
Feature Importance-Based Membership Inference,add noise to,1
Feedback Loop Manipulation,validate and sanitize,1
Few-Shot Prompt Injection,from user input,1
File Access Replay,to ip device,1
File Download & Execution via Certutil,via applocker or,1
File Hash Collision / AV Evasion,sha 256 or,1
File Hash Collision / AV Evasion,use sha 256,1
File Path Manipulation / LFI,sanitize user input,1
File Sharing Abuse,train users to,1
File Sharing Abuse,users to verify,1
File Upload + Unsafe Script Execution,and alert on,1
File-based fuzzing,input validation and,1
Fileless Malware Execution,script block logging,1
Filter Evasion using Packet Fragmentation,deep packet inspection,1
Finalizer Abuse,and alert on,1
Financial Exploit via Clipboard Monitoring,educate users to,1
Firewall Bypass / Access Control Evasion,and alert on,1
Firmware Downgrade,secure boot and,1
Firmware Exploit,secure boot and,1
Firmware Extraction & Analysis,disable debug ports,1
Firmware Extraction & Analysis,secure boot and,1
Firmware Extraction & Analysis,use secure boot,1
Firmware/Config Hash Crack via Rainbow,use sha 256,1
Flush+Reload via Shared Libraries,constant time crypto,1
Flush+Reload via Shared Libraries,use constant time,1
Forced Execution of Root-Owned Recovery Workflows,use secure boot,1
Forged File with Matching SHA-1 Digest,sha 256 or,1
Format String Bug,sanitize user input,1
Frame-Based Phishing,frame options deny,1
Frame-Based Phishing,use frame options,1
Full HTTP Hijack and Redirection,open wi fi,1
Function/Feature-Level Access Bypass,role based access,1
Functionality Removal,use read only,1
Fund Drain via Repeated Calls,checks effects interactions,1
Fuzzer Configuration,input validation and,1
Fuzzer Configuration,validate and sanitize,1
Fuzzing,input validation and,2
Fuzzing Execution,apply input validation,1
GPS Spoofing,and multi source,3
Generated Secrets That Appear Real,educate users to,1
Geo-Targeted Prefix Hijacking,educate users on,1
Git Pre-Commit Bypass,enforce server side,1
GitHub Audit Logs Monitoring,and alert on,1
Gradient Leakage via Federated Optimization,add noise to,1
Gradient Leakage via Federated Optimization,noise to gradients,1
Gradient Reconstruction in Split NN,add noise to,1
Gradient Reconstruction in Split NN,noise to gradients,1
Gradient Signal-Based Membership Detection,add dp noise,1
Gradient Signal-Based Membership Detection,noise to gradients,1
Gradient-Aware Adversarial Label Flip,use adversarial training,1
Gradient-Based Image Inversion from Class Labels,train with dp,1
Gradual Model Corruption via Retraining,anomaly detection on,1
Graph Structure and Feature Reconstruction,apply differential privacy,1
Guided Input Reconstruction using Known Members,add dp noise,1
HMAC Secret Guessing via JWT Header Abuse,use long random,1
HMAC Signature Validation Timing Attack,use constant time,1
HMI Exploitation,short lived tokens,1
HTML Smuggling,disable script execution,1
HTML Smuggling,educate users on,1
HTML Smuggling,script execution in,1
HTML Smuggling,users not to,1
HTTP Parameter Pollution (HPP),server side validation,1
HTTP Request Smuggling / Injection,strict input validation,2
HTTPS Downgrade & Credential Intercept,train users to,1
HTTPS Downgrade & Credential Intercept,users to verify,1
HTTPS Downgrade and Credential Theft,public wi fi,1
Hallucinated Classification of Sensitive Content,do not allow,1
Hardcoded Password in Template,store secrets in,1
Hardware Debug Interface Access,disable debug ports,1
Hardware Interface Exploitation,full disk encryption,4
Hardware Interface Exploitation,disable debug ports,2
Hardware Interface Exploitation,secure boot and,2
Hardware Interface Exploitation,use read only,1
Hardware Interface Exploitation,use secure boot,1
Hardware Padding Oracle on RSA in Smart Cards,constant time crypto,1
Hardware Padding Oracle on RSA in Smart Cards,implement constant time,1
Hardware Padding Oracle on RSA in Smart Cards,use rsa oaep,1
Hardware-Based Side Channel Attack (Acoustic Emission Leakage),use constant time,1
Hardware-Based Side Channel Attack (Cache Timing Leakage),constant time crypto,1
Hardware-Based Side Channel Attack (Cache Timing Leakage),use constant time,1
Hardware-Based Side Channel Attack (Thermal Residue Leakage),multi factor authentication,1
Hash Collision Attack in Blockchain,sha 256 or,1
Hash Collision in Token Metadata or Art Reference,use sha 256,1
Hash Collision to Forge File Integrity,use sha 256,1
Hash Function Collision,sha 256 or,1
Hash Preimage with File Forgery,use sha 256,1
Header Injection to Alter Authentication or Behavior,and validate all,1
Header Injection to Alter Authentication or Behavior,sanitize and validate,1
Heap Spray with Memory Page Control,restrict access to,1
Hidden Field + Overlay,train users to,1
Hidden Frame + CSS Overlay,content security policy,1
Hidden Iframe Clickjacking,content security policy,1
Hidden Iframe Clickjacking,frame options deny,1
Hide credential-stealing payloads in ADS for stealth exfiltration,via applocker or,1
Hide payload using alternate extension in ADS,if not needed,1
Host Binary Hijack via Shared Library Injection,use read only,1
Host Filesystem Tampering from Inside Container,use read only,1
HostPath Exploitation,use read only,1
Hybrid Adaptive and Chosen Ciphertext Oracle Attack,use rsa oaep,1
Hybrid Android-Targeted Attack,educate users not,1
Hybrid Android-Targeted Attack,users not to,1
Hyperparameter-Aware Gradient Inversion,add dp noise,1
ID-based Access Manipulation,never trust client,1
IDOR (Insecure Direct Object Reference),on server side,1
IMAP/POP Credential Interception,disable auto connect,1
IMAP/POP Credential Interception,educate users on,1
IMAP/POP Credential Interception,open wi fi,1
IMAP/POP Credential Interception,public wi fi,1
IMAP/POP Credential Interception,train users to,1
IMSI Catcher / Rogue Cell,end to end,1
IP Packet Fragmentation to Bypass IDS/IPS,deep packet inspection,1
IP Spoofing,deep packet inspection,1
IP-based Privilege Escalation,multi factor authentication,1
IPv6 MITM via Fake RA + DNS Hijack,if not needed,1
Identify Open Ports and Allowed Protocols,enforce least privilege,1
Identity Federation Abuse / Privilege Escalation,enforce least privilege,1
Impact → Business Process Disruption,role based access,1
